净值日期,单位净值,日增长率
2018-07-02,1.4522,0.0
2018-07-03,1.4527,0.0344
2018-07-04,1.4349,-1.2253
2018-07-05,1.427,-0.5506
2018-07-06,1.4368,0.6868
2018-07-09,1.4748,2.6448
2018-07-10,1.4788,0.2712
2018-07-11,1.4549,-1.6162
2018-07-12,1.4866,2.1788
2018-07-13,1.4928,0.4171
2018-07-16,1.4885,-0.288
2018-07-17,1.4811,-0.4971
2018-07-18,1.4742,-0.4659
2018-07-19,1.4731,-0.0746
2018-07-20,1.4993,1.7786
2018-07-23,1.5127,0.8938
2018-07-24,1.5353,1.494
2018-07-25,1.5338,-0.0977
2018-07-26,1.5172,-1.0823
2018-07-27,1.5116,-0.3691
2018-07-30,1.5091,-0.1654
2018-07-31,1.5103,0.0795
2018-08-01,1.4824,-1.8473
2018-08-02,1.4514,-2.0912
2018-08-03,1.429,-1.5433
2018-08-06,1.4121,-1.1826
2018-08-07,1.4508,2.7406
2018-08-08,1.4296,-1.4613
2018-08-09,1.4634,2.3643
2018-08-10,1.4663,0.1982
2018-08-13,1.4602,-0.416
2018-08-14,1.4531,-0.4862
2018-08-15,1.4208,-2.2228
2018-08-16,1.4147,-0.4293
2018-08-17,1.3958,-1.336
2018-08-20,1.411,1.089
2018-08-21,1.4353,1.7222
2018-08-22,1.4278,-0.5225
2018-08-23,1.4333,0.3852
2018-08-24,1.4359,0.1814
2018-08-27,1.469,2.3052
2018-08-28,1.4664,-0.177
2018-08-29,1.4608,-0.3819
2018-08-30,1.4464,-0.9858
2018-08-31,1.4396,-0.4701
2018-09-03,1.4344,-0.3612
2018-09-04,1.4511,1.1642
2018-09-05,1.4258,-1.7435
2018-09-06,1.4124,-0.9398
2018-09-07,1.4182,0.4106
2018-09-10,1.3988,-1.3679
2018-09-11,1.3963,-0.1787
2018-09-12,1.3874,-0.6374
2018-09-13,1.4015,1.0163
2018-09-14,1.4038,0.1641
2018-09-17,1.3886,-1.0828
2018-09-18,1.415,1.9012
2018-09-19,1.4326,1.2438
2018-09-20,1.4316,-0.0698
2018-09-21,1.4726,2.8639
2018-09-25,1.4599,-0.8624
2018-09-26,1.4753,1.0549
2018-09-27,1.3997,-0.3796
2018-09-28,1.4134,0.9788
2018-10-08,1.3557,-4.0824
2018-10-09,1.3549,-0.059
2018-10-10,1.3521,-0.2067
2018-10-11,1.291,-4.5189
2018-10-12,1.3092,1.4098
2018-10-15,1.2919,-1.3214
2018-10-16,1.282,-0.7663
2018-10-17,1.2887,0.5226
2018-10-18,1.2632,-1.9787
2018-10-19,1.2986,2.8024
2018-10-22,1.3455,3.6116
2018-10-23,1.3128,-2.4303
2018-10-24,1.3147,0.1447
2018-10-25,1.317,0.1749
2018-10-26,1.3091,-0.5998
2018-10-29,1.2712,-2.8951
2018-10-30,1.284,1.0069
2018-10-31,1.301,1.324
2018-11-01,1.2451,0.6995
2018-11-02,1.2873,3.3893
2018-11-05,1.2769,-0.8079
2018-11-06,1.2697,-0.5639
2018-11-07,1.2619,-0.6143
2018-11-08,1.2586,-0.2615
2018-11-09,1.2417,-1.3428
2018-11-12,1.2554,1.1033
2018-11-13,1.2673,0.9479
2018-11-14,1.2552,-0.9548
2018-11-15,1.2692,1.1154
2018-11-16,1.2747,0.4333
2018-11-19,1.2884,1.0748
2018-11-20,1.2602,-2.1888
2018-11-21,1.2633,0.246
2018-11-22,1.2587,-0.3641
2018-11-23,1.2326,-2.0736
2018-11-26,1.2317,-0.073
2018-11-27,1.2302,-0.1218
2018-11-28,1.2456,1.2518
2018-11-29,1.2304,-1.2203
2018-11-30,1.2433,1.0484
2018-12-03,1.2756,2.5979
2018-12-04,1.2781,0.196
2018-12-05,1.2723,-0.4538
2018-12-06,1.2464,-2.0357
2018-12-07,1.2466,0.016
2018-12-10,1.2331,-1.0829
2018-12-11,1.2387,0.4541
2018-12-12,1.2427,0.3229
2018-12-13,1.198,1.4726
2018-12-14,1.1788,-1.6027
2018-12-17,1.177,-0.1527
2018-12-18,1.1656,-0.9686
2018-12-19,1.1525,-1.1239
2018-12-20,1.1441,-0.7289
2018-12-21,1.1307,-1.1712
2018-12-24,1.1338,0.2742
2018-12-25,1.1265,-0.6439
2018-12-26,1.1211,-0.4794
2018-12-27,1.117,-0.3657
2018-12-28,1.1241,0.6356
2018-12-31,1.124,0.0
2019-01-02,1.1096,-1.2899
2019-01-03,1.1079,-0.1532
2019-01-04,1.1325,2.2204
2019-01-07,1.1388,0.5563
2019-01-08,1.1365,-0.202
2019-01-09,1.1473,0.9503
2019-01-10,1.1453,-0.1743
2019-01-11,1.1528,0.6549
2019-01-14,1.1434,-0.8154
2019-01-15,1.1644,1.8366
2019-01-16,1.1644,0.0
2019-01-17,1.1585,-0.5067
2019-01-18,1.1778,1.6659
2019-01-21,1.1836,0.4924
2019-01-22,1.1692,-1.2166
2019-01-23,1.1685,-0.0599
2019-01-24,1.1747,0.5306
2019-01-25,1.1836,0.7576
2019-01-28,1.1833,-0.0253
2019-01-29,1.1871,0.3211
2019-01-30,1.1781,-0.7582
2019-01-31,1.189,0.9252
2019-02-01,1.2049,1.3373
2019-02-11,1.2251,1.6765
2019-02-12,1.2331,0.653
2019-02-13,1.2562,1.8733
2019-02-14,1.258,0.1433
2019-02-15,1.2362,-1.7329
2019-02-18,1.2728,2.9607
2019-02-19,1.2704,-0.1886
2019-02-20,1.2745,0.3227
2019-02-21,1.2712,-0.2589
2019-02-22,1.2979,2.1004
2019-02-25,1.3705,5.5937
2019-02-26,1.3549,-1.1383
2019-02-27,1.3528,-0.155
2019-02-28,1.3493,-0.2587
2019-03-01,1.3766,2.0233
2019-03-04,1.3917,1.0969
2019-03-05,1.3992,0.5389
2019-03-06,1.41,0.7719
2019-03-07,1.3962,-0.9787
2019-03-08,1.3431,-3.8032
2019-03-11,1.3681,1.8614
2019-03-12,1.377,0.6505
2019-03-13,1.3667,-0.748
2019-03-14,1.2932,-0.6219
2019-03-15,1.3089,1.214
2019-03-18,1.3444,2.7122
2019-03-19,1.3384,-0.4463
2019-03-20,1.3388,0.0299
2019-03-21,1.3393,0.0373
2019-03-22,1.3385,-0.0597
2019-03-25,1.3085,-2.2413
2019-03-26,1.2946,-1.0623
2019-03-27,1.3088,1.0969
2019-03-28,1.304,-0.3667
2019-03-29,1.3514,3.635
2019-04-01,1.3853,2.5085
2019-04-02,1.3844,-0.065
2019-04-03,1.401,1.1991
2019-04-04,1.4143,0.9493
2019-04-08,1.4133,-0.0707
2019-04-09,1.4194,0.4316
2019-04-10,1.4227,0.2325
